IND,A,R,N,D,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,B,J,O,U,X,Z
ANDN920101 ,4.35,4.38,4.75,4.76,4.65,4.37,4.29,3.97,4.63,3.95,4.17,4.36,4.52,4.66,4.44,4.5,4.35,4.7,4.6,3.95,0,0,0,0,0,0
ARGP820101 ,0.61,0.6,0.06,0.46,1.07,0,0.47,0.07,0.61,2.22,1.53,1.15,1.18,2.02,1.95,0.05,0.05,2.65,1.88,1.32,0,0,0,0,0,0
ARGP820102 ,1.18,0.2,0.23,0.05,1.89,0.72,0.11,0.49,0.31,1.45,3.23,0.06,2.67,1.96,0.76,0.97,0.84,0.77,0.39,1.08,0,0,0,0,0,0
ARGP820103 ,1.56,0.45,0.27,0.14,1.23,0.51,0.23,0.62,0.29,1.67,2.93,0.15,2.96,2.03,0.76,0.81,0.91,1.08,0.68,1.14,0,0,0,0,0,0
BEGF750101 ,1,0.52,0.35,0.44,0.06,0.44,0.73,0.35,0.6,0.73,1,0.6,1,0.6,0.06,0.35,0.44,0.73,0.44,0.82,0,0,0,0,0,0
BEGF750102 ,0.77,0.72,0.55,0.65,0.65,0.72,0.55,0.65,0.83,0.98,0.83,0.55,0.98,0.98,0.55,0.55,0.83,0.77,0.83,0.98,0,0,0,0,0,0
BEGF750103 ,0.37,0.84,0.97,0.97,0.84,0.64,0.53,0.97,0.75,0.37,0.53,0.75,0.64,0.53,0.97,0.84,0.75,0.97,0.84,0.37,0,0,0,0,0,0
BHAR880101 ,357,529,463,511,346,493,497,544,323,462,365,466,295,314,509,507,444,305,0.42,386,0,0,0,0,0,0
BIGC670101 ,52.6,109.1,75.7,68.4,68.3,89.7,84.7,36.3,91.9,102,102,105.1,97.7,113.9,73.6,54.9,71.2,135.4,116.2,85.1,0,0,0,0,0,0
BIOV880101 ,16,-70,-74,-78,168,-73,-106,-13,50,151,145,-141,124,189,-20,-70,-38,145,53,123,0,0,0,0,0,0
BIOV880102 ,44,-68,-72,-91,90,-117,-139,-8,47,100,108,-188,121,148,-36,-60,-54,163,22,117,0,0,0,0,0,0
BROC820101 ,7.3,-3.6,-5.7,-2.9,-9.2,-0.3,-7.1,-1.2,-2.1,6.6,20,-3.7,5.6,19.2,5.1,-4.1,0.8,16.3,5.9,3.5,0,0,0,0,0,0
BROC820102 ,3.9,3.2,-2.8,-2.8,-14.3,1.8,-7.5,-2.3,2,11,15,-2.5,4.1,14.7,5.6,-3.5,1.1,17.8,3.8,2.1,0,0,0,0,0,0
BULH740101 ,-0.2,-0.12,0.08,-0.2,-0.45,0.16,-0.3,0,-0.12,-2.26,-2.46,-0.35,-1.47,-2.33,-0.98,-0.39,-0.52,-2.01,-2.24,-1.56,0,0,0,0,0,0
BULH740102 ,691,728,596,558,624,649,632,592,646,809,842,767,709,756,0.73,594,655,743,743,777,0,0,0,0,0,0
BUNA790101 ,8249,8274,8747,8.41,8312,8411,8368,8391,8415,8195,8423,8408,8418,8228,0,8.38,8236,8094,8183,8436,0,0,0,0,0,0
BUNA790102 ,4349,4396,4755,4765,4686,4373,4295,3972,4.63,4224,4385,4358,4513,4663,4471,4498,4346,4702,4604,4184,0,0,0,0,0,0
BUNA790103 ,6.5,6.9,7.5,7,7.7,6,7,5.6,8,7,6.5,6.5,0,9.4,0,6.5,6.9,0,6.8,7,0,0,0,0,0,0
BURA740101 ,486,262,193,288,0.2,418,538,0.12,0.4,0.37,0.42,402,417,318,208,0.2,272,462,161,379,0,0,0,0,0,0
BURA740102 ,288,362,229,271,533,327,262,312,0.2,411,0.4,265,375,318,0.34,354,388,231,429,495,0,0,0,0,0,0
CHAM810101 ,0.52,0.68,0.76,0.76,0.62,0.68,0.68,0,0.7,1.02,0.98,0.68,0.78,0.7,0.36,0.53,0.5,0.7,0.7,0.76,0,0,0,0,0,0
CHAM820101 ,46,291,134,105,128,0.18,151,0,0.23,186,186,219,221,0.29,131,62,108,409,298,0.14,0,0,0,0,0,0
CHAM820102 ,-368,-1.03,0,2.06,4.53,731,1.77,-525,0,791,1.07,0,656,1.06,-2.24,-524,0,1.6,4.91,401,0,0,0,0,0,0
CHAM830101 ,0.71,1.06,1.37,1.21,1.19,0.87,0.84,1.52,1.07,0.66,0.69,0.99,0.59,0.71,1.61,1.34,1.08,0.76,1.07,0.63,0,0,0,0,0,0
COWR900101,-118,124,289,48,83,-105,-245,104,138,0.23,-52,32,-258,15,0,225,166,158,94,513,0,0,0,0,0,0
CHAM830102 ,0,1,1,1,1,1,1,0,1,2,1,1,1,1,0,1,2,1,1,2,0,0,0,0,0,0
CHAM830104 ,0,1,1,1,0,1,1,0,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
CHAM830105 ,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1.5,1,0,0,0,0,0,0,0
CHAM830106 ,0,5,2,2,1,3,3,0,3,2,2,4,3,4,0,1,1,5,5,1,0,0,0,0,0,0
CHAM830107 ,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAM830108 ,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
CHOC750101 ,91.5,202,135.2,124.5,117.7,161.1,155.1,66.4,167.3,168.8,167.9,171.3,170.8,203.4,129.3,99.1,122.1,237.6,203.6,141.7,0,0,0,0,0,0
CHOC760101 ,115,225,160,150,135,180,190,75,195,175,170,200,185,210,145,115,140,255,230,155,0,0,0,0,0,0
CHOC760102 ,25,90,63,50,19,71,49,23,43,18,23,97,31,24,50,44,47,32,60,18,0,0,0,0,0,0
CHOC760103 ,0.38,0.01,0.12,0.15,0.45,0.07,0.18,0.36,0.17,0.6,0.45,0.03,0.4,0.5,0.18,0.22,0.23,0.27,0.15,0.54,0,0,0,0,0,0
CHOC760104 ,0.2,0,0.03,0.04,0.22,0.01,0.03,0.18,0.02,0.19,0.16,0,0.11,0.14,0.04,0.08,0.08,0.04,0.03,0.18,0,0,0,0,0,0
CHOP780101 ,0.66,0.95,1.56,1.46,1.19,0.98,0.74,1.56,0.95,0.47,0.59,1.01,0.6,0.6,1.52,1.43,0.96,0.96,1.14,0.5,0,0,0,0,0,0
CHOP780201 ,1.42,0.98,0.67,1.01,0.7,1.11,1.51,0.57,1,1.08,1.21,1.16,1.45,1.13,0.57,0.77,0.83,1.08,0.69,1.06,0,0,0,0,0,0
CHOP780202 ,0.83,0.93,0.89,0.54,1.19,1.1,0.37,0.75,0.87,1.6,1.3,0.74,1.05,1.38,0.55,0.75,1.19,1.37,1.47,1.7,0,0,0,0,0,0
CHOP780203 ,0.74,1.01,1.46,1.52,0.96,0.96,0.95,1.56,0.95,0.47,0.5,1.19,0.6,0.66,1.56,1.43,0.98,0.6,1.14,0.59,0,0,0,0,0,0
CHOP780204 ,1.29,0.44,0.81,2.02,0.66,1.22,2.44,0.76,0.73,0.67,0.58,0.66,0.71,0.61,2.01,0.74,1.08,1.47,0.68,0.61,0,0,0,0,0,0
